,age,avg_time,category,geek_rating,id,max_players,mechanic,min_players,name,rank,rating_count,weight,year
2153,8,20,['Puzzle'],6.12289,215469,6,"['Dice Rolling', 'Pattern Recognition', 'Press Your Luck', 'Set Collection']",2,The Pyramid's Deadline,7155.0,7,1.4286,2016
2154,0,0,"['Ancient', 'Expansion for Base-game', 'Wargame']",8.01702,209343,4,"['Area Control / Area Influence', 'Area Movement', 'Campaign / Battle Card Driven', 'Dice Rolling', 'Variable Phase Order', 'Variable Player Powers']",1,Falling Sky: The Gallic Revolt Against Caesar – Ariovistus,,3,3.6667,2018
2155,7,60,"['Abstract Strategy', 'Animals', 'Farming', 'Humor']",6.58379,202490,4,"['Area Movement', 'Dice Rolling']",2,Chickapig,9066.0,2,2.0,2016
2156,8,20,"['Card Game', 'Nautical', 'Pirates']",6.81883,205308,2,"['Area Control / Area Influence', 'Card Drafting']",2,Jolly & Roger,4207.0,7,1.7143,2016
2157,12,200,['Expansion for Base-game'],8.22321,234017,4,['Partnerships'],4,Wir sind das Volk!: 2+2,,4,4.0,2017
2158,14,75,"['City Building', 'Economic', 'Expansion for Base-game', 'Medieval']",8.065439999999999,234856,6,"['Card Drafting', 'Hand Management', 'Worker Placement']",1,Charterstone: Recharge Pack,,1,3.0,2017
2159,8,20,"['Animals', 'Card Game', 'Deduction']",5.9875,227837,4,"['Betting/Wagering', 'Hand Management', 'Set Collection']",2,Atlas: Enchanted Lands,12585.0,2,1.5,2017
2160,0,1200,"['Science Fiction', 'Space Exploration']",7.3,217990,5,[],2,Stellar Horizons,,3,3.6667,2019
2161,12,6000,"['Ancient', 'Wargame']",7.84167,263301,6,"['Dice Rolling', 'Hex-and-Counter', 'Simulation']",1,Al Nofi's Imperium Romanum,,8,4.125,2019
2162,10,240,"['Exploration', 'Science Fiction', 'Space Exploration']",5.57143,146023,8,"['Action Point Allowance System', 'Campaign / Battle Card Driven', 'Cooperative Play']",1,Planet Defiant: Onslaught of Vanas,,0,0.0,2016
