,rank,id,name,age,avg_time,min_players,max_players,mechanic,category,weight,year,geek,avg,num_rev
2730,,183969,Spyfall: The Box Is Not Enough,12,0,3,8,"['Acting', 'Partnerships', 'Storytelling']","['Bluffing', 'Card Game', 'Deduction', 'Expansion for Base-game', 'Humor', 'Party Game', 'Spies/Secret Agents']",1.0,2015,,6.86,22.0
2731,8816.0,242589,NATO Air Commander,0,60,1,1,['Hex-and-Counter'],"['Aviation / Flight', 'Modern Warfare', 'Wargame']",2.5,2018,5.5520000000000005,7.86,35.0
2732,,201942,Massive Darkness: Enemy Box – Elementals,0,0,1,6,"['Cooperative Play', 'Dice Rolling', 'Modular Board', 'Variable Player Powers']",['Fantasy'],0.0,2017,5.632000000000001,7.69,87.0
2733,,181631,Rum & Bones: La Brise Sanguine,0,0,0,0,"['Action Point Allowance System', 'Area Control / Area Influence', 'Dice Rolling', 'Grid Movement', 'Variable Player Powers', 'Worker Placement']","['Fantasy', 'Miniatures', 'Nautical', 'Pirates']",2.0,2015,5.691,7.55,130.0
2734,5999.0,250488,This Guilty Land,0,45,2,2,"['Area Control / Area Influence', 'Campaign / Battle Card Driven', 'Hand Management']","['American Civil War', 'Political']",3.25,2018,5.615,7.61,71.0
2735,,174721,Myth: Blackwall Warrens,12,120,2,5,"['Cooperative Play', 'Dice Rolling', 'Grid Movement', 'Hand Management', 'Modular Board', 'Variable Phase Order', 'Variable Player Powers']","['Expansion for Base-game', 'Fantasy', 'Miniatures']",3.0,2016,5.582999999999999,7.54,56.0
2736,17076.0,175512,A Chaotic Life!,10,30,2,4,[],"['Card Game', 'Humor']",1.0909,2015,5.242999999999999,3.18,161.0
2737,8271.0,197377,Waterloo 1815: Napoleon's Last Battle,13,180,2,8,['Simulation'],"['Napoleonic', 'Wargame']",4.0,2016,5.56,8.25,33.0
2738,5226.0,184372,Justice League: Hero Dice – Superman,10,25,1,1,"['Cooperative Play', 'Dice Rolling', 'Variable Player Powers']","['Comic Book / Strip', 'Dice']",1.375,2015,5.646,6.61,228.0
2739,7782.0,191065,Castle Flutterstone,6,25,2,4,[],"['Action / Dexterity', ""Children's Game""]",1.0,2016,5.568,6.37,118.0
2740,,244827,Spirit Island: Expansion Playmat,13,120,5,6,[],['Expansion for Base-game'],4.0,2017,,7.71,7.0
2741,,266304,MegaCity: Oceania,8,60,2,4,"['Area Control / Area Influence', 'Modular Board', 'Tile Placement']","['Action / Dexterity', 'City Building', 'Science Fiction']",0.0,2019,,7.88,6.0
2742,,162389,BattleCON: Armory,10,0,2,4,"['Hand Management', 'Point to Point Movement', 'Simultaneous Action Selection', 'Variable Player Powers']","['Card Game', 'Fighting']",3.0,2015,5.6,7.21,78.0
2743,,207349,Neuroshima Hex! Death Breath,10,30,2,4,"['Hand Management', 'Hex-and-Counter', 'Partnerships', 'Player Elimination', 'Tile Placement', 'Variable Player Powers']","['Expansion for Base-game', 'Fighting', 'Science Fiction', 'Zombies']",3.0,2016,5.729,7.83,154.0
2744,,173374,Neuschwabenland,10,60,2,2,"['Action Point Allowance System', 'Hex-and-Counter']","['Fantasy', 'Science Fiction', 'Wargame', 'World War II']",2.5,2015,,7.36,21.0
2745,,173762,Pass the Blame: The Party Game For Irresponsible Adults,17,60,4,30,"['Paper-and-Pencil', 'Storytelling']","['Humor', 'Negotiation', 'Party Game']",1.0,2015,,2.4,5.0
2746,5382.0,230200,Overbooked,8,40,1,4,"['Pattern Building', 'Pattern Recognition']","['Aviation / Flight', 'Puzzle']",1.6667,2018,5.638999999999999,7.18,126.0
2747,,181267,Hundred Days 20,13,60,2,2,['Hex-and-Counter'],"['Napoleonic', 'Wargame']",2.6667,2015,5.5729999999999995,7.94,44.0
2748,14987.0,159452,"Wake up, Cthulhu!",10,30,1,4,"['Betting/Wagering', 'Hand Management', 'Press Your Luck']","['Card Game', 'Horror']",1.6667,2015,5.4879999999999995,5.58,168.0
2749,4350.0,199047,Cobras,13,45,1,5,['Trick-taking'],['Card Game'],2.0,2017,5.696000000000001,6.93,213.0
2750,9094.0,231553,Jagged Alliance: The Board Game,14,360,1,4,"['Action Point Allowance System', 'Campaign / Battle Card Driven', 'Cooperative Play', 'Modular Board', 'Variable Phase Order']","['Dice', 'Fighting', 'Miniatures', 'Modern Warfare', 'Video Game Theme']",0.0,2019,5.547999999999999,8.49,32.0
2751,,189097,Catan Scenarios: Santa Claus,10,120,2,6,"['Dice Rolling', 'Hand Management', 'Modular Board', 'Route/Network Building', 'Trading']","['Civilization', 'Expansion for Base-game', 'Negotiation']",1.0,2015,5.5489999999999995,6.81,58.0
2752,,244841,Maximum Apocalypse: Gothic Horrors,13,90,1,6,"['Action Point Allowance System', 'Campaign / Battle Card Driven', 'Cooperative Play', 'Hand Management', 'Modular Board', 'Pick-up and Deliver']",['Expansion for Base-game'],2.5,2019,5.644,8.32,88.0
2753,,256707,Trick Shot,12,60,2,4,"['Card Drafting', 'Dice Rolling', 'Grid Movement', 'Hand Management', 'Press Your Luck']",['Sports'],2.3333,2019,,8.88,16.0
2754,10184.0,194505,Tallinn,10,20,2,4,"['Hand Management', 'Simultaneous Action Selection']","['Bluffing', 'Card Game', 'Medieval']",1.0,2016,5.5360000000000005,5.97,102.0
2755,,220224,Maniacal,8,120,2,5,"['Action Point Allowance System', 'Card Drafting', 'Dice Rolling', 'Take That', 'Variable Player Powers']",['Comic Book / Strip'],2.0,2019,,9.0,11.0
2756,,198826,March of the Ants: Minions of the Meadow,13,90,1,5,"['Area Control / Area Influence', 'Grid Movement', 'Modular Board', 'Point to Point Movement', 'Variable Player Powers']","['Animals', 'Civilization', 'Expansion for Base-game', 'Exploration']",3.0,2017,5.601,7.58,72.0
2757,,60794,Spaghetti,5,5,2,4,['Dice Rolling'],"['Action / Dexterity', ""Children's Game""]",0.0,1982,5.57,6.11,178.0
2758,9695.0,172932,Flashlights & Fireflies,6,20,2,5,[],"['Bluffing', ""Children's Game""]",1.0,2015,5.541,6.13,99.0
2759,13499.0,209506,Terra Formars,14,30,2,4,"['Dice Rolling', 'Take That']",[],2.0,2016,5.506,5.92,42.0
2760,,207446,Band of Brothers: Battle Pack 1,12,90,1,2,"['Dice Rolling', 'Hex-and-Counter', 'Secret Unit Deployment']","['Expansion for Base-game', 'Wargame', 'World War II']",3.0,2017,5.561,8.1,31.0
2761,,179656,Tajemnicze Domostwo: Motive cards,8,60,2,7,"['Acting', 'Cooperative Play', 'Hand Management', 'Modular Board']","['Deduction', 'Exploration', 'Murder/Mystery']",1.5,2015,5.553,7.43,43.0
2762,4357.0,196217,18Ireland,12,240,3,6,"['Auction/Bidding', 'Route/Network Building', 'Stock Holding', 'Tile Placement']","['Economic', 'Trains']",4.3333,2017,5.699,7.92,110.0
2763,,190744,Kemet: New Power Tiles,14,120,2,5,"['Area Control / Area Influence', 'Area Movement', 'Campaign / Battle Card Driven', 'Card Drafting']","['Ancient', 'Expansion for Base-game', 'Fighting', 'Miniatures', 'Mythology']",3.0,2015,5.68,7.57,121.0
2764,,183860,XenoShyft: Onslaught – Hive Expansion,13,60,1,4,"['Cooperative Play', 'Deck / Pool Building', 'Variable Player Powers']","['Card Game', 'Horror', 'Science Fiction']",2.0,2015,5.716,7.71,139.0
2765,,22830,POW!,8,30,2,4,"['Dice Rolling', 'Rock-Paper-Scissors', 'Roll / Spin and Move']","['American West', ""Children's Game"", 'Racing']",0.0,1977,5.567,6.19,163.0
2766,,242482,Blight Chronicles: Agent Decker,14,180,1,1,"['Deck / Pool Building', 'Storytelling']","['Adventure', 'Card Game']",2.0,2019,,7.19,16.0
2767,,181336,Machi Koro: Großstadt-Erweiterung,8,40,2,4,"['Dice Rolling', 'Set Collection']","['Card Game', 'City Building', 'Dice', 'Expansion for Base-game']",1.95,2015,6.042000000000001,7.25,580.0
2768,,145032,Cthulhu Wars: The Sleeper Expansion,12,90,2,5,"['Action Point Allowance System', 'Area Movement', 'Dice Rolling', 'Variable Player Powers']","['Expansion for Base-game', 'Horror', 'Miniatures']",3.5,2015,5.917000000000001,8.47,215.0
2769,,186085,The Others: 7 Sins – Sons of Ragnarok Expansion,14,0,2,5,"['Area Control / Area Influence', 'Dice Rolling', 'Modular Board', 'Variable Player Powers']","['Expansion for Base-game', 'Fighting', 'Horror']",3.0,2016,5.666,7.76,117.0
2770,13324.0,256708,Limbo: Eternal War,14,80,2,4,"['Dice Rolling', 'Hand Management']","['Fantasy', 'Fighting', 'Miniatures', 'Wargame']",3.0,2019,5.507000000000001,9.6,35.0
2771,,258645,Nusfjord: Plaice Deck,12,100,1,5,['Worker Placement'],"['Economic', 'Expansion for Base-game']",2.0,2018,5.603,8.01,56.0
2772,5214.0,180921,Lutèce,10,90,2,5,"['Card Drafting', 'Hand Management', 'Set Collection', 'Simultaneous Action Selection']","['Ancient', 'Card Game', 'Real-time']",2.0,2015,5.647,6.63,190.0
2773,7523.0,176960,Wok on Fire,7,20,2,4,['Set Collection'],['Action / Dexterity'],1.4444,2015,5.5729999999999995,6.3,133.0
2774,,192027,Cerberus,10,0,3,5,['Hand Management'],['Card Game'],0.0,2016,5.691,7.08,182.0
2775,,189634,Ashes: The Frostdale Giants,0,0,0,0,[],[],3.0,2016,5.848,7.78,231.0
